,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,duracion
32,The Bad Touch,['Bloodhound Gang'],2024-07-12T16:20:49Z,True,spotify:track:5EYdTPdJD74r9EVZBztqGG,72,,https://open.spotify.com/track/5EYdTPdJD74r9EVZBztqGG,['6nDLku5uL3ou60kvCGZorh'],260506
33,Insane in the Brain,['Cypress Hill'],2024-07-12T16:20:49Z,True,spotify:track:1oTHteQbmJw15rPxPVXUTv,72,,https://open.spotify.com/track/1oTHteQbmJw15rPxPVXUTv,['4P0dddbxPil35MNN9G2MEX'],208266
34,Gettin' Jiggy Wit It,['Will Smith'],2024-07-12T16:20:49Z,False,spotify:track:0weAUscowxeqDtpCgtbpgp,72,,https://open.spotify.com/track/0weAUscowxeqDtpCgtbpgp,['41qil2VaGbD194gaEcmmyx'],227933
35,The Sign,['Ace of Base'],2024-07-12T16:20:49Z,False,spotify:track:0hrBpAOgrt8RXigk83LLNE,73,,https://open.spotify.com/track/0hrBpAOgrt8RXigk83LLNE,['5ksRONqssB7BR161NTtJAm'],191240
36,Shoop,['Salt-N-Pepa'],2024-07-12T16:20:49Z,False,spotify:track:0Pu71wxadDlB8fJXfjIjeJ,72,,https://open.spotify.com/track/0Pu71wxadDlB8fJXfjIjeJ,['7wqtxqI3eo7Gn1P7SpP6cQ'],248573
37,Bla Bla Bla,"[""Gigi D'Agostino""]",2024-07-12T16:20:49Z,False,spotify:track:04zrPERrSO4CfyargthKJ9,71,,https://open.spotify.com/track/04zrPERrSO4CfyargthKJ9,['1OAjDaKgg00KCUYqDe68un'],255546
38,Boombastic,['Shaggy'],2024-07-12T16:20:49Z,False,spotify:track:4fxF8ljwryMZX5c9EKrLFE,71,,https://open.spotify.com/track/4fxF8ljwryMZX5c9EKrLFE,['5EvFsr3kj42KNv97ZEnqij'],249933
39,Show Me Love,['Robin S'],2024-07-12T16:20:49Z,False,spotify:track:4t0UsYzmmmZRMTWn77jiGF,70,,https://open.spotify.com/track/4t0UsYzmmmZRMTWn77jiGF,['2WvLeseDGPX1slhmxI59G3'],252106
40,Children,['Robert Miles'],2024-07-12T16:20:49Z,False,spotify:track:4wtR6HB3XekEengMX17cpc,70,,https://open.spotify.com/track/4wtR6HB3XekEengMX17cpc,['2YVF0Ou5zIc4mpgtLIlGN0'],243266
41,All I Wanna Do,['Sheryl Crow'],2024-07-12T16:20:49Z,False,spotify:track:3ZpQiJ78LKINrW9SQTgbXd,70,,https://open.spotify.com/track/3ZpQiJ78LKINrW9SQTgbXd,['4TKTii6gnOnUXQHyuo9JaD'],272106
42,Baby Got Back,['Sir Mix-A-Lot'],2024-07-12T16:20:49Z,True,spotify:track:1SAkL1mYNJlaqnBQxVZrRl,70,,https://open.spotify.com/track/1SAkL1mYNJlaqnBQxVZrRl,['3TQ9JTBI2n2hfo7aRONEYV'],262826
43,Two Princes,['Spin Doctors'],2024-07-12T16:20:49Z,False,spotify:track:4ePP9So5xRzspjLFVVbj90,69,,https://open.spotify.com/track/4ePP9So5xRzspjLFVVbj90,['2PSiyldxmJze7xiqbz658m'],256733
44,"Jumpin', Jumpin'","[""Destiny's Child""]",2024-07-12T16:20:49Z,False,spotify:track:4pmc2AxSEq6g7hPVlJCPyP,69,,https://open.spotify.com/track/4pmc2AxSEq6g7hPVlJCPyP,['1Y8cdNmUJH7yBTd9yOvr5i'],230200
45,Scatman (ski-ba-bop-ba-dop-bop),['Scatman John'],2024-07-12T16:20:49Z,False,spotify:track:623rRTKwGmgjH6sjE9uWLh,69,,https://open.spotify.com/track/623rRTKwGmgjH6sjE9uWLh,['4omQQTNN7ILiMsSB2k9eqX'],215973
46,Smooth (feat. Rob Thomas),"['Santana', 'Rob Thomas']",2024-07-12T16:20:49Z,False,spotify:track:0n2SEXB2qoRQg171q7XqeW,69,,https://open.spotify.com/track/0n2SEXB2qoRQg171q7XqeW,"['6GI52t8N5F02MxU0g5U69P', '3aBkeBhwadnWMWoVJ2CxJC']",294986
47,Larger Than Life,['Backstreet Boys'],2024-07-12T16:20:49Z,False,spotify:track:6sbXGUn9V9ZaLwLdOfpKRE,69,,https://open.spotify.com/track/6sbXGUn9V9ZaLwLdOfpKRE,['5rSXSAkZ67PYJSvpUpkOr7'],232826
48,Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams),"['C & C Music Factory', 'Freedom Williams']",2024-07-12T16:20:49Z,False,spotify:track:7eheoW4hxrH51ww2QePVwF,69,,https://open.spotify.com/track/7eheoW4hxrH51ww2QePVwF,"['7krx6UBDKLwE0q3s3fesqF', '08MVPakTEdRJimQNV61NFR']",244093
49,Be My Lover,['La Bouche'],2024-07-12T16:20:49Z,False,spotify:track:3vSn1frPgFcRXrjWOfhMLl,68,,https://open.spotify.com/track/3vSn1frPgFcRXrjWOfhMLl,['488v7rQzthLNK22r0UvMie'],240866
50,Groove Is in the Heart,['Deee-Lite'],2024-07-12T16:20:49Z,False,spotify:track:2He3NOyqtLNE3RQPpeDdSb,68,,https://open.spotify.com/track/2He3NOyqtLNE3RQPpeDdSb,['4eQJIXFEujzhTVVS1gIfu5'],231786
51,Black or White,['Michael Jackson'],2024-07-12T16:20:49Z,False,spotify:track:7EsjkelQuoUlJXEw7SeVV4,68,,https://open.spotify.com/track/7EsjkelQuoUlJXEw7SeVV4,['3fMbdgg4jU18AjLCKBhRSm'],254933
52,Tubthumping,['Chumbawamba'],2024-07-12T16:20:49Z,False,spotify:track:22HYEJveCvykVDHDiEEmjZ,68,,https://open.spotify.com/track/22HYEJveCvykVDHDiEEmjZ,['0TcYeHEK9sBtv7xPbKhzHz'],278778
53,Ecuador - Original Radio Edit,['Sash!'],2024-07-12T16:20:49Z,False,spotify:track:1arJHhz6TxMV50SNvSmGnV,68,,https://open.spotify.com/track/1arJHhz6TxMV50SNvSmGnV,['5XTxV2ifoYkmNb13Gb6cKz'],212133
54,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,"['Crystal Waters', 'The Basement Boys']",2024-07-12T16:20:49Z,False,spotify:track:1SShxVVBeZBCY7WddnksPz,68,,https://open.spotify.com/track/1SShxVVBeZBCY7WddnksPz,"['2sd9Q3r0Jhqpe3w9WVuG43', '4zs2Vybqo9ktD8QORpnHfI']",451826
55,Beautiful Life,['Ace of Base'],2024-07-12T16:20:49Z,False,spotify:track:74jTexO94dFGyXGyeu8krd,68,,https://open.spotify.com/track/74jTexO94dFGyXGyeu8krd,['5ksRONqssB7BR161NTtJAm'],221186
56,Bailando,['Paradisio'],2024-07-12T16:20:49Z,False,spotify:track:6PwbVXIomkvk4YcafiOc6i,67,,https://open.spotify.com/track/6PwbVXIomkvk4YcafiOc6i,['0FfjCldzckJBQNsnQyMJmb'],229333
57,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),"['Pras', ""Ol' Dirty Bastard"", 'Mýa']",2024-07-12T16:20:49Z,False,spotify:track:31bf9SEOppLU6lQ85d8om6,67,,https://open.spotify.com/track/31bf9SEOppLU6lQ85d8om6,"['0kJMPTXq7h3ztpDukSx5iD', '50NoVNy9GU1lCrDV8iGpyu', '6lHL3ubAMgSasKjNqKb8HF']",261133
58,Saturday Night - Radio Mix,['Whigfield'],2024-07-12T16:20:49Z,False,spotify:track:59VRFpPnC8pOhIH2WCWXF9,67,,https://open.spotify.com/track/59VRFpPnC8pOhIH2WCWXF9,['0lHoDF96DNKSIcIpcOfMnq'],247405
59,Cosmic Girl - Remastered 2013,['Jamiroquai'],2024-07-12T16:20:49Z,False,spotify:track:6y0Etr2KJr0sdcEp7ajoUK,67,,https://open.spotify.com/track/6y0Etr2KJr0sdcEp7ajoUK,['6J7biCazzYhU3gM9j1wfid'],244146
60,Jump,['Kris Kross'],2024-07-12T16:20:49Z,False,spotify:track:27AHAtAirQapVldIm4c9ZX,66,,https://open.spotify.com/track/27AHAtAirQapVldIm4c9ZX,['2zrZfs23sjuHDv4E6YRmNf'],195106
61,Say You'll Be There,['Spice Girls'],2024-07-12T16:20:49Z,False,spotify:track:1yTQ39my3MoNROlFw3RDNy,66,,https://open.spotify.com/track/1yTQ39my3MoNROlFw3RDNy,['0uq5PttqEjj3IH1bzwcrXF'],235973
62,(You Drive Me) Crazy,['Britney Spears'],2024-07-12T16:20:49Z,False,spotify:track:1DSJNBNhGZCigg9ll5VeZv,66,,https://open.spotify.com/track/1DSJNBNhGZCigg9ll5VeZv,['26dSoYclwsYLMAKD3tpOr4'],198066
63,The Shoop Shoop Song (It's In His Kiss),['Cher'],2024-07-12T16:20:49Z,False,spotify:track:5oV1YjM2rtyZ55txHHsFUu,66,,https://open.spotify.com/track/5oV1YjM2rtyZ55txHHsFUu,['72OaDtakiy6yFqkt4TsiFt'],170000
64,Where Do You Go,['No Mercy'],2024-07-12T16:20:49Z,False,spotify:track:37tzoWY1ubBQKGXiWdO5Qv,66,,https://open.spotify.com/track/37tzoWY1ubBQKGXiWdO5Qv,['2tUGlReCZRMoRgl0IS79i3'],272093
65,I Want You Back - Radio Edit,['*NSYNC'],2024-07-12T16:20:49Z,False,spotify:track:221LRlPHPuevgE1tuUlof9,66,,https://open.spotify.com/track/221LRlPHPuevgE1tuUlof9,['6Ff53KvcvAj5U7Z1vojB5o'],200440
66,2 Times - Original,['Ann Lee'],2024-07-12T16:20:49Z,False,spotify:track:4IiKITgHYaHrF1zUlcTyVH,66,,https://open.spotify.com/track/4IiKITgHYaHrF1zUlcTyVH,['1EN7GOzx8aDpiIbVVmQaaC'],230933
67,Born Slippy (Nuxx),['Underworld'],2024-07-12T16:20:49Z,False,spotify:track:7xQYVjs4wZNdCwO0EeAWMC,66,,https://open.spotify.com/track/7xQYVjs4wZNdCwO0EeAWMC,['1PXHzxRDiLnjqNrRn2Xbsa'],456480
68,The Riddle,"[""Gigi D'Agostino""]",2024-07-12T16:20:49Z,False,spotify:track:0ZqveF2rEFlz2oqF2xrriP,65,,https://open.spotify.com/track/0ZqveF2rEFlz2oqF2xrriP,['1OAjDaKgg00KCUYqDe68un'],285426
69,Dreams (Will Come Alive),['2 Brothers On The 4th Floor'],2024-07-12T16:20:49Z,False,spotify:track:4Fqm5rqB0WMx0hPOwgRjFr,65,,https://open.spotify.com/track/4Fqm5rqB0WMx0hPOwgRjFr,['5wsBGjgRsASMggXLPF7pYm'],264000
70,I've Been Thinking About You,['Londonbeat'],2024-07-12T16:20:49Z,False,spotify:track:50PeqUz1BjMw9ayNTk5O4d,65,,https://open.spotify.com/track/50PeqUz1BjMw9ayNTk5O4d,['0gcMPgunYh4rX1UOdvZKBn'],230066
71,Mr. Vain,['Culture Beat'],2024-07-12T16:20:49Z,False,spotify:track:2rTYgHxgcndkUrRoU7x0Sv,65,,https://open.spotify.com/track/2rTYgHxgcndkUrRoU7x0Sv,['0BZ3BHzfYwpd3k5TDnvAz8'],336840
72,Strong Enough,['Cher'],2024-07-12T16:20:49Z,False,spotify:track:144JMbvbR5txNzoZ112wo4,65,,https://open.spotify.com/track/144JMbvbR5txNzoZ112wo4,['72OaDtakiy6yFqkt4TsiFt'],224000
73,Go West - 2003 Remaster,['Pet Shop Boys'],2024-07-12T16:20:49Z,False,spotify:track:5Klo65Y9uouLjNVDV3pqh7,65,,https://open.spotify.com/track/5Klo65Y9uouLjNVDV3pqh7,['2ycnb8Er79LoH2AsR5ldjh'],304080
74,Spice Up Your Life,['Spice Girls'],2024-07-12T16:20:49Z,False,spotify:track:5qGwqO0lkbBXw4xNfzT7SF,65,,https://open.spotify.com/track/5qGwqO0lkbBXw4xNfzT7SF,['0uq5PttqEjj3IH1bzwcrXF'],173666
75,9Pm (Till I Come),['ATB'],2024-07-12T16:20:49Z,False,spotify:track:1CgbwsrNDlFrRuk2ebQ7zr,64,,https://open.spotify.com/track/1CgbwsrNDlFrRuk2ebQ7zr,['7jZM5w05mGhw6wTB1okhD9'],193880
76,Think About the Way,['Ice Mc'],2024-07-12T16:20:49Z,False,spotify:track:2foOeJLKSvepjHEkb4NR8N,64,,https://open.spotify.com/track/2foOeJLKSvepjHEkb4NR8N,['5wlyJXaam6QmyDn8qBLZx8'],260973
77,"Men In Black - From ""Men In Black"" Soundtrack",['Will Smith'],2024-07-12T16:20:49Z,False,spotify:track:2FK7fxjzQEXD7Z32HSF0Hl,63,,https://open.spotify.com/track/2FK7fxjzQEXD7Z32HSF0Hl,['41qil2VaGbD194gaEcmmyx'],227266
78,Hey Boy Hey Girl,['The Chemical Brothers'],2024-07-12T16:20:49Z,False,spotify:track:7kXmJwrZGIhDaLT9sNo3ut,63,,https://open.spotify.com/track/7kXmJwrZGIhDaLT9sNo3ut,['1GhPHrq36VKCY3ucVaZCfo'],290493
